"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","100.60","","","","2"
"2001","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","101.07","","","","2"
"2002","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","97.94","","","","2"
"2003","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","102.98","","","","2"
"2004","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","98.55","","","","2"
"2005","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","97.01","","","","2"
"2006","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","96.29","","","","2"
"2007","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","91.80","","","","2"
"2008","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","84.92","","","","2"
"2009","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","80.78","","","","2"
"2010","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","76.39","","","","2"
"2011","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","65.37","","","","2"
"2012","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","61.28","","","","2"
"2013","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","61.28","","","","2"
"2014","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","61.06","","","","2"
"2015","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","79.77","","","","2"
"2016","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","78.35","","","","2"
"2017","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","83.64","","","","2"
"2018","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","89.34","","","","2"
"2019","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","93.46","","","","2"
"2020","Calgary, Alberta [48825]","2021A003548825","Crime severity index","Index","160","units","0","v44312659","34.1","79.17","","","","2"
