"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","117.92","","","","2"
"2001","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","123.86","","","","2"
"2002","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","128.57","","","","2"
"2003","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","141.52","","","","2"
"2004","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","144.32","","","","2"
"2005","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","141.01","","","","2"
"2006","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","129.75","","","","2"
"2007","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","128.64","","","","2"
"2008","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","122.69","","","","2"
"2009","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","114.74","","","","2"
"2010","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","101.81","","","","2"
"2011","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","87.05","","","","2"
"2012","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","84.68","","","","2"
"2013","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","85.86","","","","2"
"2014","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","88.48","","","","2"
"2015","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","103.42","","","","2"
"2016","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","107.37","","","","2"
"2017","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","113.63","","","","2"
"2018","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","116.49","","","","2"
"2019","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","115.68","","","","2"
"2020","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","105.37","","","","2"
"2021","Edmonton, Alberta [48835]","2021A003548835","Crime severity index","Index","160","units","0","v44312665","35.1","97.45","","","","2"
"2000","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-3.13","","","","2"
"2001","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","5.04","","","","2"
"2002","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","3.80","","","","2"
"2003","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","10.07","","","","2"
"2004","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","1.98","","","","2"
"2005","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-2.29","","","","2"
"2006","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-7.99","","","","2"
"2007","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-0.86","","","","2"
"2008","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-4.63","","","","2"
"2009","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-6.48","","","","2"
"2010","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-11.27","","","","2"
"2011","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-14.50","","","","2"
"2012","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-2.72","","","","2"
"2013","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","1.39","","","","2"
"2014","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","3.05","","","","2"
"2015","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","16.89","","","","2"
"2016","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","3.82","","","","2"
"2017","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","5.83","","","","2"
"2018","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","2.52","","","","2"
"2019","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-0.70","","","","2"
"2020","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-8.91","","","","2"
"2021","Edmonton, Alberta [48835]","2021A003548835","Percent change in crime severity index","Percent","239","units","0","v44312666","35.2","-7.52","","","","2"
"2000","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","111.71","","","","2"
"2001","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","122.75","","","","2"
"2002","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","115.10","","","","2"
"2003","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","125.69","","","","2"
"2004","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","118.24","","","","2"
"2005","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","121.95","","","","2"
"2006","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","115.80","","","","2"
"2007","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","127.96","","","","2"
"2008","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","130.95","","","","2"
"2009","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","118.04","","","","2"
"2010","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","107.26","","","","2"
"2011","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","104.71","","","","2"
"2012","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","96.09","","","","2"
"2013","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","91.54","","","","2"
"2014","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","94.80","","","","2"
"2015","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","105.95","","","","2"
"2016","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","102.95","","","","2"
"2017","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","108.19","","","","2"
"2018","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","108.96","","","","2"
"2019","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","110.30","","","","2"
"2020","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","111.91","","","","2"
"2021","Edmonton, Alberta [48835]","2021A003548835","Violent crime severity index","Index","160","units","0","v44312667","35.3","109.98","","","","2"
"2000","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-0.47","","","","2"
"2001","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","9.88","","","","2"
"2002","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-6.23","","","","2"
"2003","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","9.20","","","","2"
"2004","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-5.93","","","","2"
"2005","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","3.14","","","","2"
"2006","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-5.04","","","","2"
"2007","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","10.50","","","","2"
"2008","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","2.34","","","","2"
"2009","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-9.86","","","","2"
"2010","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-9.13","","","","2"
"2011","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-2.38","","","","2"
"2012","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-8.23","","","","2"
"2013","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-4.74","","","","2"
"2014","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","3.56","","","","2"
"2015","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","11.76","","","","2"
"2016","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-2.83","","","","2"
"2017","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","5.09","","","","2"
"2018","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","0.71","","","","2"
"2019","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","1.23","","","","2"
"2020","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","1.46","","","","2"
"2021","Edmonton, Alberta [48835]","2021A003548835","Percent change in violent crime severity index","Percent","239","units","0","v44312668","35.4","-1.72","","","","2"
"2000","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","120.30","","","","2"
"2001","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","124.29","","","","2"
"2002","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","133.74","","","","2"
"2003","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","147.60","","","","2"
"2004","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","154.35","","","","2"
"2005","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","148.34","","","","2"
"2006","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","135.11","","","","2"
"2007","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","128.90","","","","2"
"2008","Edmonton, Alberta [48835]","2021A003548835","Non-violent crime severity index","Index","160","units","0","v44312669","35.5","119.52","","","","2"
