"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","98.88","","","","2"
"2001","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","94.61","","","","2"
"2002","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","88.28","","","","2"
"2003","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","88.92","","","","2"
"2004","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","81.98","","","","2"
"2005","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","82.09","","","","2"
"2006","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","89.56","","","","2"
"2007","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","78.97","","","","2"
"2008","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","73.34","","","","2"
"2009","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","80.94","","","","2"
"2010","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","84.36","","","","2"
"2011","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","79.09","","","","2"
"2012","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","71.37","","","","2"
"2013","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","66.68","","","","2"
"2014","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","61.18","","","","2"
"2015","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","59.37","","","","2"
"2016","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","66.62","","","","2"
"2017","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","75.52","","","","2"
"2018","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","79.87","","","","2"
"2019","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","82.44","","","","2"
"2020","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","88.18","","","","2"
"2021","Greater Sudbury, Ontario [35580]","2021A003535580","Crime severity index","Index","160","units","0","v44312605","25.1","84.39","","","","2"
"2000","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-0.74","","","","2"
"2001","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-4.32","","","","2"
"2002","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-6.69","","","","2"
"2003","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","0.72","","","","2"
"2004","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-7.80","","","","2"
"2005","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","0.13","","","","2"
"2006","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","9.10","","","","2"
"2007","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-11.82","","","","2"
"2008","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-7.13","","","","2"
"2009","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","10.36","","","","2"
"2010","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","4.23","","","","2"
"2011","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-6.25","","","","2"
"2012","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-9.76","","","","2"
"2013","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-6.57","","","","2"
"2014","Greater Sudbury, Ontario [35580]","2021A003535580","Percent change in crime severity index","Percent","239","units","0","v44312606","25.2","-8.25","","","","2"
