"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","59.92","","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","59.30","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","57.66","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","59.91","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","50.71","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","47.86","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","50.79","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","43.20","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","48.28","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","49.35","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","54.60","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","65.83","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","70.97","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","65.29","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","63.22","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Crime severity index","Index","160","units","0","v52117764","46.1","58.22","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","","..","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-1.03","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-2.77","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","3.90","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-15.36","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-5.62","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","6.12","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-14.94","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","11.76","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","2.22","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","10.64","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","20.57","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","7.81","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-8.00","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-3.17","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Percent change in crime severity index","Percent","239","units","0","v52117765","46.2","-7.91","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","62.68","","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","48.98","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","42.27","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","51.26","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","44.83","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","50.21","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","53.28","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","42.45","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","47.10","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","47.74","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","49.87","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","59.16","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","62.56","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","52.63","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","66.33","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","51.55","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","","..","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-21.86","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-13.70","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","21.27","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-12.54","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","12.00","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","6.11","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-20.33","","","","2"
