"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","95.54","","","","2"
"2001","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","101.33","","","","2"
"2002","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","96.67","","","","2"
"2003","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","94.27","","","","2"
"2004","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","81.82","","","","2"
"2005","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","84.08","","","","2"
"2006","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","84.55","","","","2"
"2007","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","84.59","","","","2"
"2008","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","77.75","","","","2"
"2009","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","74.67","","","","2"
"2010","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","71.53","","","","2"
"2011","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","64.91","","","","2"
"2012","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","61.12","","","","2"
"2013","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","55.53","","","","2"
"2014","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","51.47","","","","2"
"2015","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","51.39","","","","2"
"2016","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","54.29","","","","2"
"2017","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","60.22","","","","2"
"2018","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","58.25","","","","2"
"2019","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","60.12","","","","2"
"2020","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","55.72","","","","2"
"2021","Hamilton, Ontario [35537]","2021A003535537","Crime severity index","Index","160","units","0","v44312575","20.1","56.85","","","","2"
"2000","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-5.95","","","","2"
"2001","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","6.06","","","","2"
"2002","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-4.60","","","","2"
"2003","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-2.48","","","","2"
"2004","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-13.21","","","","2"
"2005","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","2.76","","","","2"
"2006","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","0.56","","","","2"
"2007","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","0.05","","","","2"
"2008","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-8.09","","","","2"
"2009","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-3.96","","","","2"
"2010","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-4.21","","","","2"
"2011","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-9.25","","","","2"
"2012","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-5.84","","","","2"
"2013","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-9.15","","","","2"
"2014","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-7.31","","","","2"
"2015","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-0.16","","","","2"
"2016","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","5.64","","","","2"
"2017","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","10.92","","","","2"
"2018","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-3.27","","","","2"
"2019","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","3.21","","","","2"
"2020","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","-7.32","","","","2"
"2021","Hamilton, Ontario [35537]","2021A003535537","Percent change in crime severity index","Percent","239","units","0","v44312576","20.2","2.03","","","","2"
"2000","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","90.36","","","","2"
"2001","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","89.32","","","","2"
"2002","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","91.67","","","","2"
"2003","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","88.42","","","","2"
"2004","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","81.37","","","","2"
"2005","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","88.90","","","","2"
"2006","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","92.16","","","","2"
"2007","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","98.57","","","","2"
"2008","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","88.72","","","","2"
"2009","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","85.79","","","","2"
"2010","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","81.18","","","","2"
"2011","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","74.89","","","","2"
"2012","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","62.87","","","","2"
"2013","Hamilton, Ontario [35537]","2021A003535537","Violent crime severity index","Index","160","units","0","v44312577","20.3","60.49","","","","2"
