"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","82.61","","","","2"
"2002","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","82.42","","","","2"
"2003","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","85.67","","","","2"
"2004","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","82.96","","","","2"
"2005","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","83.14","","","","2"
"2006","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","79.22","","","","2"
"2007","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","70.50","","","","2"
"2008","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","67.83","","","","2"
"2009","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","64.50","","","","2"
"2010","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","62.18","","","","2"
"2011","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","59.29","","","","2"
"2012","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","58.29","","","","2"
"2013","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","55.15","","","","2"
"2014","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","56.30","","","","2"
"2015","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","57.65","","","","2"
"2016","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","56.46","","","","2"
"2017","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","62.28","","","","2"
"2018","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","70.32","","","","2"
"2019","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","68.20","","","","2"
"2020","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","70.45","","","","2"
"2021","Kingston, Ontario [35521]","2021A003535521","Crime severity index","Index","160","units","0","v44312617","27.1","72.78","","","","2"
"2002","Kingston, Ontario [35521]","2021A003535521","Percent change in crime severity index","Percent","239","units","0","v44312618","27.2","-0.23","","","","2"
