"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","87.24","","","","2"
"2001","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","80.51","","","","2"
"2002","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","81.13","","","","2"
"2003","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","78.30","","","","2"
"2004","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","84.07","","","","2"
"2005","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","78.30","","","","2"
"2006","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","79.69","","","","2"
"2007","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","71.47","","","","2"
"2008","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","69.24","","","","2"
"2009","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","74.60","","","","2"
"2010","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","68.76","","","","2"
"2011","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","64.09","","","","2"
"2012","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","59.48","","","","2"
"2013","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","57.56","","","","2"
"2014","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","55.81","","","","2"
"2015","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","60.59","","","","2"
"2016","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","60.78","","","","2"
"2017","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","69.50","","","","2"
"2018","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","74.18","","","","2"
"2019","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","73.66","","","","2"
"2020","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","75.10","","","","2"
"2021","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Crime severity index","Index","160","units","0","v44312587","22.1","79.39","","","","2"
"2000","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-6.33","","","","2"
"2001","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-7.71","","","","2"
"2002","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","0.77","","","","2"
"2003","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-3.49","","","","2"
"2004","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","7.37","","","","2"
"2005","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-6.86","","","","2"
"2006","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","1.78","","","","2"
"2007","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-10.31","","","","2"
"2008","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-3.12","","","","2"
"2009","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","7.74","","","","2"
