"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","110.19","","","","2"
"2001","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","101.94","","","","2"
"2002","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","99.78","","","","2"
"2003","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","97.76","","","","2"
"2004","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","90.93","","","","2"
"2005","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","93.45","","","","2"
"2006","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","102.10","","","","2"
"2007","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","89.19","","","","2"
"2008","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","84.89","","","","2"
"2009","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","88.43","","","","2"
"2010","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","83.62","","","","2"
"2011","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","79.92","","","","2"
"2012","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","75.66","","","","2"
"2013","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","67.85","","","","2"
"2014","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","66.31","","","","2"
"2015","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","65.96","","","","2"
"2016","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","68.16","","","","2"
"2017","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","71.30","","","","2"
"2018","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","76.59","","","","2"
"2019","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","76.01","","","","2"
"2020","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","74.82","","","","2"
"2021","London, Ontario [35555]","2021A003535555","Crime severity index","Index","160","units","0","v44312593","23.1","80.09","","","","2"
"2000","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","0.71","","","","2"
"2001","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-7.49","","","","2"
"2002","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-2.12","","","","2"
"2003","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-2.02","","","","2"
"2004","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-6.99","","","","2"
"2005","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","2.77","","","","2"
"2006","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","9.26","","","","2"
"2007","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-12.64","","","","2"
"2008","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-4.82","","","","2"
"2009","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","4.17","","","","2"
"2010","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-5.44","","","","2"
"2011","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-4.42","","","","2"
"2012","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-5.33","","","","2"
"2013","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-10.32","","","","2"
"2014","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-2.27","","","","2"
"2015","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-0.53","","","","2"
"2016","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","3.34","","","","2"
"2017","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","4.61","","","","2"
"2018","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","7.42","","","","2"
"2019","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-0.76","","","","2"
"2020","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","-1.57","","","","2"
"2021","London, Ontario [35555]","2021A003535555","Percent change in crime severity index","Percent","239","units","0","v44312594","23.2","7.04","","","","2"
"2000","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","70.82","","","","2"
"2001","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","70.34","","","","2"
"2002","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","66.08","","","","2"
"2003","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","66.77","","","","2"
"2004","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","71.46","","","","2"
"2005","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","75.71","","","","2"
"2006","London, Ontario [35555]","2021A003535555","Violent crime severity index","Index","160","units","0","v44312595","23.3","82.10","","","","2"
