"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","123.33","","","","2"
"2001","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","113.53","","","","2"
"2002","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","108.63","","","","2"
"2003","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","106.97","","","","2"
"2004","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","102.83","","","","2"
"2005","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","103.45","","","","2"
"2006","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","103.59","","","","2"
"2007","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","94.62","","","","2"
"2008","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","91.34","","","","2"
"2009","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","89.45","","","","2"
"2010","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","82.97","","","","2"
"2011","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","79.85","","","","2"
"2012","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","75.10","","","","2"
"2013","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","66.62","","","","2"
"2014","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","60.87","","","","2"
"2015","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","61.47","","","","2"
"2016","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","58.70","","","","2"
"2017","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","59.05","","","","2"
"2018","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","58.21","","","","2"
"2019","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","57.71","","","","2"
"2020","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","52.82","","","","2"
"2021","Montréal, Quebec [24462]","2021A003524462","Crime severity index","Index","160","units","0","v44312539","14.1","55.93","","","","2"
"2000","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-4.22","","","","2"
"2001","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-7.95","","","","2"
"2002","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-4.32","","","","2"
"2003","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-1.53","","","","2"
"2004","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-3.87","","","","2"
"2005","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","0.60","","","","2"
"2006","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","0.14","","","","2"
"2007","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-8.66","","","","2"
"2008","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-3.47","","","","2"
"2009","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-2.07","","","","2"
"2010","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-7.24","","","","2"
"2011","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-3.76","","","","2"
"2012","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-5.95","","","","2"
"2013","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-11.29","","","","2"
"2014","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-8.63","","","","2"
"2015","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","0.99","","","","2"
"2016","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-4.51","","","","2"
"2017","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","0.60","","","","2"
"2018","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-1.42","","","","2"
"2019","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-0.86","","","","2"
"2020","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-8.47","","","","2"
"2021","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","5.89","","","","2"
"2000","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","132.79","","","","2"
"2001","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","123.35","","","","2"
"2002","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","120.58","","","","2"
"2003","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","121.10","","","","2"
"2004","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","118.37","","","","2"
"2005","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","117.91","","","","2"
"2006","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","117.93","","","","2"
"2007","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","109.16","","","","2"
"2008","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","105.81","","","","2"
"2009","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","102.30","","","","2"
"2010","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","98.50","","","","2"
"2011","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","98.07","","","","2"
