"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","86.15","","","","2"
"2001","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","85.08","","","","2"
"2002","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","87.27","","","","2"
"2003","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","89.93","","","","2"
"2004","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","82.31","","","","2"
"2005","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","84.38","","","","2"
"2006","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","82.48","","","","2"
"2007","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","76.74","","","","2"
"2008","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","69.96","","","","2"
"2009","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","68.41","","","","2"
"2010","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","62.37","","","","2"
"2011","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","59.40","","","","2"
"2012","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","59.96","","","","2"
"2013","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","51.16","","","","2"
"2014","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","47.88","","","","2"
"2015","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","48.52","","","","2"
"2016","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","52.24","","","","2"
"2017","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","52.50","","","","2"
"2018","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","55.05","","","","2"
"2019","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","56.93","","","","2"
"2020","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","48.47","","","","2"
"2021","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Crime severity index","Index","160","units","0","v44312557","17.1","49.32","","","","2"
"2000","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-8.88","","","","2"
"2001","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-1.24","","","","2"
"2002","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","2.57","","","","2"
"2003","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","3.05","","","","2"
"2004","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-8.47","","","","2"
"2005","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","2.51","","","","2"
"2006","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-2.25","","","","2"
"2007","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-6.96","","","","2"
"2008","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-8.84","","","","2"
"2009","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-2.22","","","","2"
"2010","Ottawa-Gatineau, Ontario/Quebec [24505/35505]","2021A0035505","Percent change in crime severity index","Percent","239","units","0","v44312558","17.2","-8.83","","","","2"
