"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","186.08","","","","2"
"2001","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","184.00","","","","2"
"2002","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","183.04","","","","2"
"2003","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","219.50","","","","2"
"2004","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","190.69","","","","2"
"2005","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","183.29","","","","2"
"2006","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","165.24","","","","2"
"2007","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","158.14","","","","2"
"2008","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","138.85","","","","2"
"2009","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","133.48","","","","2"
"2010","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","128.62","","","","2"
"2011","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","114.84","","","","2"
"2012","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","107.72","","","","2"
"2013","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","100.84","","","","2"
"2014","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","111.67","","","","2"
"2015","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","114.78","","","","2"
"2016","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","118.73","","","","2"
"2017","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","117.89","","","","2"
"2018","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","118.12","","","","2"
"2019","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","118.04","","","","2"
"2020","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","105.77","","","","2"
"2021","Saskatoon, Saskatchewan [47725]","2021A003547725","Crime severity index","Index","160","units","0","v44312647","32.1","105.97","","","","2"
"2000","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","6.44","","","","2"
"2001","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-1.12","","","","2"
"2002","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-0.52","","","","2"
"2003","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","19.92","","","","2"
"2004","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-13.13","","","","2"
"2005","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-3.88","","","","2"
"2006","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-9.85","","","","2"
"2007","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-4.30","","","","2"
"2008","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-12.20","","","","2"
"2009","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-3.87","","","","2"
"2010","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-3.64","","","","2"
"2011","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-10.71","","","","2"
"2012","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-6.20","","","","2"
"2013","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-6.39","","","","2"
"2014","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","10.74","","","","2"
"2015","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","2.78","","","","2"
"2016","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","3.44","","","","2"
"2017","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-0.71","","","","2"
"2018","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","0.20","","","","2"
"2019","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-0.07","","","","2"
"2020","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","-10.39","","","","2"
"2021","Saskatoon, Saskatchewan [47725]","2021A003547725","Percent change in crime severity index","Percent","239","units","0","v44312648","32.2","0.19","","","","2"
