"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","93.09","","","","2"
"2001","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","98.60","","","","2"
"2002","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","100.55","","","","2"
"2003","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","92.85","","","","2"
"2004","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","79.43","","","","2"
"2005","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","83.56","","","","2"
"2006","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","85.10","","","","2"
"2007","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","80.31","","","","2"
"2008","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","80.35","","","","2"
"2009","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","76.29","","","","2"
"2010","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","70.36","","","","2"
"2011","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","61.45","","","","2"
"2012","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","64.05","","","","2"
"2013","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","57.24","","","","2"
"2014","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","50.98","","","","2"
"2015","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","51.83","","","","2"
"2016","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","49.65","","","","2"
"2017","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","59.99","","","","2"
"2018","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","69.40","","","","2"
"2019","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","64.40","","","","2"
"2020","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","58.77","","","","2"
"2021","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Crime severity index","Index","160","units","0","v44312581","21.1","62.12","","","","2"
"2000","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-8.64","","","","2"
"2001","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","5.92","","","","2"
"2002","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","1.98","","","","2"
"2003","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-7.66","","","","2"
"2004","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-14.45","","","","2"
"2005","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","5.20","","","","2"
"2006","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","1.84","","","","2"
"2007","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-5.63","","","","2"
"2008","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","0.05","","","","2"
"2009","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-5.05","","","","2"
"2010","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-7.77","","","","2"
"2011","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-12.66","","","","2"
"2012","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","4.23","","","","2"
"2013","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-10.63","","","","2"
"2014","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-10.94","","","","2"
"2015","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","1.67","","","","2"
"2016","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-4.21","","","","2"
"2017","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","20.83","","","","2"
"2018","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","15.69","","","","2"
"2019","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-7.20","","","","2"
"2020","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","-8.74","","","","2"
"2021","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Percent change in crime severity index","Percent","239","units","0","v44312582","21.2","5.70","","","","2"
"2000","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","62.23","","","","2"
"2001","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","63.86","","","","2"
"2002","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","76.28","","","","2"
"2003","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","67.88","","","","2"
"2004","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","61.53","","","","2"
"2005","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","72.05","","","","2"
"2006","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","72.75","","","","2"
"2007","St.Catharines-Niagara, Ontario [35539]","2021A003535539","Violent crime severity index","Index","160","units","0","v44312583","21.3","64.92","","","","2"
