"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","114.55","","","","2"
"2001","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","110.31","","","","2"
"2002","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","95.18","","","","2"
"2003","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","105.73","","","","2"
"2004","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","109.38","","","","2"
"2005","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","109.97","","","","2"
"2006","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","110.97","","","","2"
"2007","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","110.40","","","","2"
"2008","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","106.87","","","","2"
"2009","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","112.77","","","","2"
"2010","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","111.96","","","","2"
"2011","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","105.72","","","","2"
"2012","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","88.01","","","","2"
"2013","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","81.39","","","","2"
"2014","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","89.57","","","","2"
"2015","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","80.09","","","","2"
"2016","Thunder Bay, Ontario [35595]","2021A003535595","Crime severity index","Index","160","units","0","v44312611","26.1","83.84","","","","2"
