"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","79.08","","","","2"
"2001","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","80.04","","","","2"
"2002","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","78.54","","","","2"
"2003","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","77.02","","","","2"
"2004","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","72.32","","","","2"
"2005","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","71.97","","","","2"
"2006","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","73.21","","","","2"
"2007","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","70.74","","","","2"
"2008","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","67.01","","","","2"
"2009","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","64.31","","","","2"
"2010","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","60.26","","","","2"
"2011","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","56.07","","","","2"
"2012","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","52.74","","","","2"
"2013","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","47.12","","","","2"
"2014","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","45.07","","","","2"
"2015","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","46.16","","","","2"
"2016","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","47.88","","","","2"
"2017","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","49.86","","","","2"
"2018","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","53.80","","","","2"
"2019","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","54.15","","","","2"
"2020","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","46.19","","","","2"
"2021","Toronto, Ontario [35535]","2021A003535535","Crime severity index","Index","160","units","0","v44312569","19.1","45.45","","","","2"
"2000","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-3.48","","","","2"
"2001","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","1.21","","","","2"
"2002","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-1.87","","","","2"
"2003","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-1.94","","","","2"
"2004","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-6.10","","","","2"
"2005","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-0.48","","","","2"
"2006","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","1.72","","","","2"
"2007","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-3.37","","","","2"
"2008","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-5.27","","","","2"
"2009","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-4.03","","","","2"
"2010","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-6.30","","","","2"
"2011","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-6.95","","","","2"
"2012","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-5.94","","","","2"
"2013","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-10.66","","","","2"
"2014","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-4.35","","","","2"
"2015","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","2.42","","","","2"
"2016","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","3.73","","","","2"
"2017","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","4.14","","","","2"
"2018","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","7.90","","","","2"
"2019","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","0.65","","","","2"
"2020","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-14.70","","","","2"
"2021","Toronto, Ontario [35535]","2021A003535535","Percent change in crime severity index","Percent","239","units","0","v44312570","19.2","-1.60","","","","2"
"2000","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","97.88","","","","2"
"2001","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","100.01","","","","2"
"2002","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","95.86","","","","2"
"2003","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","95.88","","","","2"
"2004","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","91.82","","","","2"
"2005","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","98.12","","","","2"
"2006","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","100.50","","","","2"
"2007","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","103.37","","","","2"
"2008","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","98.38","","","","2"
"2009","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","96.34","","","","2"
"2010","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","90.09","","","","2"
"2011","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","83.67","","","","2"
"2012","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","79.14","","","","2"
"2013","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","67.99","","","","2"
"2014","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","63.80","","","","2"
"2015","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","65.70","","","","2"
"2016","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","70.64","","","","2"
"2017","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","73.44","","","","2"
"2018","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","79.01","","","","2"
"2019","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","77.91","","","","2"
"2020","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","66.23","","","","2"
"2021","Toronto, Ontario [35535]","2021A003535535","Violent crime severity index","Index","160","units","0","v44312571","19.3","65.01","","","","2"
"2000","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","3.69","","","","2"
"2001","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","2.18","","","","2"
"2002","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","-4.15","","","","2"
"2003","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","0.02","","","","2"
"2004","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","-4.23","","","","2"
"2005","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","6.86","","","","2"
"2006","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","2.43","","","","2"
"2007","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","2.86","","","","2"
"2008","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","-4.83","","","","2"
"2009","Toronto, Ontario [35535]","2021A003535535","Percent change in violent crime severity index","Percent","239","units","0","v44312572","19.4","-2.07","","","","2"
