"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","158.88","","","","2"
"2001","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","158.88","","","","2"
"2002","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","155.32","","","","2"
"2003","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","161.74","","","","2"
"2004","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","158.31","","","","2"
"2005","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","147.12","","","","2"
"2006","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","138.88","","","","2"
"2007","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","131.82","","","","2"
"2008","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","120.13","","","","2"
"2009","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","111.59","","","","2"
"2010","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","103.23","","","","2"
"2011","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","95.79","","","","2"
"2012","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","94.44","","","","2"
"2013","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","89.12","","","","2"
"2014","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","94.27","","","","2"
"2015","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","94.33","","","","2"
"2016","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","92.83","","","","2"
"2017","Vancouver, British Columbia [59933]","2021A003559933","Crime severity index","Index","160","units","0","v44312677","37.1","86.77","","","","2"
