"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","123.11","","","","2"
"2001","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","117.33","","","","2"
"2002","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","113.46","","","","2"
"2003","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","113.71","","","","2"
"2004","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","116.24","","","","2"
"2005","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","108.14","","","","2"
"2006","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","116.97","","","","2"
"2007","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","107.87","","","","2"
"2008","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","103.29","","","","2"
"2009","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","93.18","","","","2"
"2010","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","87.26","","","","2"
"2011","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","72.89","","","","2"
"2012","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","70.28","","","","2"
"2013","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","57.81","","","","2"
"2014","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","60.92","","","","2"
"2015","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","70.21","","","","2"
"2016","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","62.09","","","","2"
"2017","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","60.49","","","","2"
"2018","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","63.86","","","","2"
"2019","Victoria, British Columbia [59935]","2021A003559935","Crime severity index","Index","160","units","0","v44312683","38.1","73.91","","","","2"
