"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","111.29","","","","2"
"2001","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","114.81","","","","2"
"2002","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","116.27","","","","2"
"2003","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","124.83","","","","2"
"2004","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","124.08","","","","2"
"2005","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","121.93","","","","2"
"2006","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","115.60","","","","2"
"2007","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","114.40","","","","2"
"2008","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","112.00","","","","2"
"2009","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","105.59","","","","2"
"2010","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","98.18","","","","2"
"2011","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","87.52","","","","2"
"2012","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","86.13","","","","2"
"2013","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","85.31","","","","2"
"2014","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","87.55","","","","2"
"2015","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","104.49","","","","2"
"2016","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","105.99","","","","2"
"2017","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","112.06","","","","2"
"2018","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","113.65","","","","2"
"2019","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","120.14","","","","2"
"2020","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","108.70","","","","2"
"2021","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v44312653","33.1","101.36","","","","2"
"2000","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-6.31","","","","2"
"2001","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","3.16","","","","2"
"2002","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","1.27","","","","2"
"2003","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","7.36","","","","2"
"2004","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-0.60","","","","2"
"2005","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-1.73","","","","2"
"2006","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-5.19","","","","2"
"2007","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-1.04","","","","2"
"2008","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-2.10","","","","2"
"2009","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-5.72","","","","2"
"2010","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-7.02","","","","2"
"2011","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-10.86","","","","2"
"2012","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-1.59","","","","2"
"2013","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-0.95","","","","2"
"2014","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","2.63","","","","2"
"2015","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","19.35","","","","2"
"2016","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","1.44","","","","2"
"2017","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","5.73","","","","2"
"2018","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","1.42","","","","2"
"2019","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","5.71","","","","2"
"2020","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-9.52","","","","2"
"2021","Alberta [48]","2016A000248","Percent change in crime severity index","Percent","239","units","0","v44312654","33.2","-6.75","","","","2"
"2000","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","97.12","","","","2"
"2001","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","103.04","","","","2"
"2002","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","99.40","","","","2"
"2003","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","105.58","","","","2"
"2004","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","102.79","","","","2"
"2005","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","107.81","","","","2"
"2006","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","105.67","","","","2"
"2007","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","107.62","","","","2"
"2008","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","112.19","","","","2"
"2009","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","106.48","","","","2"
"2010","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","98.19","","","","2"
"2011","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","94.68","","","","2"
"2012","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","88.88","","","","2"
"2013","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","85.33","","","","2"
"2014","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","87.12","","","","2"
"2015","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","98.90","","","","2"
"2016","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","92.89","","","","2"
"2017","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","98.56","","","","2"
"2018","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","99.50","","","","2"
"2019","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","108.18","","","","2"
"2020","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","109.72","","","","2"
"2021","Alberta [48]","2016A000248","Violent crime severity index","Index","160","units","0","v44312655","33.3","112.41","","","","2"
"2000","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-3.48","","","","2"
"2001","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","6.10","","","","2"
"2002","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-3.53","","","","2"
"2003","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","6.22","","","","2"
"2004","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-2.64","","","","2"
"2005","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","4.88","","","","2"
"2006","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-1.98","","","","2"
"2007","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","1.85","","","","2"
"2008","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","4.25","","","","2"
"2009","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-5.09","","","","2"
"2010","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-7.79","","","","2"
"2011","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-3.57","","","","2"
"2012","Alberta [48]","2016A000248","Percent change in violent crime severity index","Percent","239","units","0","v44312656","33.4","-6.13","","","","2"
