"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","106.73","","","","2"
"2001","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","105.30","","","","2"
"2002","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","104.14","","","","2"
"2003","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","106.84","","","","2"
"2004","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","104.11","","","","2"
"2005","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","101.33","","","","2"
"2006","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","100.00","","","","2"
"2007","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","95.28","","","","2"
"2008","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","90.57","","","","2"
"2009","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","87.77","","","","2"
"2010","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","82.94","","","","2"
"2011","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","77.61","","","","2"
"2012","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","75.51","","","","2"
"2013","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","68.92","","","","2"
"2014","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","66.90","","","","2"
"2015","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","70.39","","","","2"
"2016","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","72.01","","","","2"
"2017","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","73.60","","","","2"
"2018","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","75.61","","","","2"
"2019","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","79.75","","","","2"
"2020","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","73.90","","","","2"
"2021","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","73.68","","","","2"
"2000","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-4.05","","","","2"
"2001","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-1.34","","","","2"
"2002","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-1.10","","","","2"
"2003","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","2.59","","","","2"
"2004","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-2.56","","","","2"
"2005","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-2.67","","","","2"
"2006","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-1.31","","","","2"
"2007","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-4.72","","","","2"
"2008","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-4.94","","","","2"
"2009","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-3.09","","","","2"
"2010","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-5.50","","","","2"
"2011","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-6.43","","","","2"
"2012","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-2.71","","","","2"
"2013","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-8.73","","","","2"
"2014","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-2.93","","","","2"
"2015","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","5.22","","","","2"
"2016","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","2.30","","","","2"
"2017","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","2.21","","","","2"
"2018","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","2.73","","","","2"
"2019","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","5.48","","","","2"
"2020","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-7.34","","","","2"
"2021","Canada","2016A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-0.30","","","","2"
"2000","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","97.79","","","","2"
"2001","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","97.20","","","","2"
"2002","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","96.20","","","","2"
"2003","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","97.56","","","","2"
"2004","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","96.01","","","","2"
"2005","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","98.52","","","","2"
"2006","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","100.00","","","","2"
"2007","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","97.78","","","","2"
"2008","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","95.07","","","","2"
"2009","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","94.29","","","","2"
"2010","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","89.22","","","","2"
"2011","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","85.72","","","","2"
"2012","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","81.95","","","","2"
"2013","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","74.02","","","","2"
"2014","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","70.71","","","","2"
"2015","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","75.34","","","","2"
"2016","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","76.88","","","","2"
"2017","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","81.27","","","","2"
"2018","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","83.55","","","","2"
"2019","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","90.28","","","","2"
"2020","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","87.97","","","","2"
"2021","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","92.50","","","","2"
"2000","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-1.58","","","","2"
"2001","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-0.60","","","","2"
"2002","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-1.03","","","","2"
"2003","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","1.41","","","","2"
"2004","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-1.59","","","","2"
"2005","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","2.61","","","","2"
"2006","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","1.50","","","","2"
"2007","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-2.22","","","","2"
"2008","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-2.77","","","","2"
"2009","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-0.82","","","","2"
"2010","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-5.38","","","","2"
"2011","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-3.92","","","","2"
"2012","Canada","2016A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-4.40","","","","2"
