"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","70.12","","","","2"
"2001","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.07","","","","2"
"2002","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.38","","","","2"
"2003","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","74.44","","","","2"
"2004","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","79.33","","","","2"
"2005","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","78.56","","","","2"
"2006","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","73.13","","","","2"
"2007","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","75.32","","","","2"
"2008","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.08","","","","2"
"2009","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.46","","","","2"
"2010","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","78.65","","","","2"
"2011","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.85","","","","2"
"2012","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","68.00","","","","2"
"2013","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","68.47","","","","2"
"2014","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","62.36","","","","2"
"2015","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","65.78","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.55","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","63.52","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","64.85","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.91","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.56","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","75.50","","","","2"
"2000","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","1.30","","","","2"
"2001","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-1.50","","","","2"
"2002","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","3.34","","","","2"
"2003","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","4.29","","","","2"
"2004","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","6.57","","","","2"
"2005","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-0.97","","","","2"
"2006","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-6.91","","","","2"
"2007","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","2.99","","","","2"
"2008","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-5.63","","","","2"
"2009","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","0.53","","","","2"
"2010","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","10.06","","","","2"
"2011","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-8.65","","","","2"
"2012","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-5.36","","","","2"
"2013","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","0.69","","","","2"
"2014","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-8.92","","","","2"
"2015","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","5.48","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","5.73","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-8.67","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","2.09","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","10.89","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","-3.27","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Percent change in crime severity index","Percent","239","units","0","v44312468","2.2","8.54","","","","2"
"2000","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","61.80","","","","2"
"2001","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","59.96","","","","2"
"2002","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","58.53","","","","2"
"2003","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","60.41","","","","2"
"2004","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","59.65","","","","2"
"2005","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","67.02","","","","2"
"2006","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","60.55","","","","2"
"2007","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","62.54","","","","2"
"2008","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","66.48","","","","2"
"2009","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","60.87","","","","2"
"2010","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","69.25","","","","2"
