"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","101.78","","","","2"
"2001","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","96.59","","","","2"
"2002","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","93.54","","","","2"
"2003","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","92.93","","","","2"
"2004","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","90.34","","","","2"
"2005","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","89.92","","","","2"
"2006","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","91.00","","","","2"
"2007","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","84.68","","","","2"
"2008","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","83.04","","","","2"
"2009","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","81.47","","","","2"
"2010","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","75.99","","","","2"
"2011","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","73.35","","","","2"
"2012","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","70.69","","","","2"
"2013","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","62.67","","","","2"
"2014","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","57.66","","","","2"
"2015","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","56.95","","","","2"
"2016","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","56.62","","","","2"
"2017","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","57.80","","","","2"
"2018","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","56.53","","","","2"
"2019","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","55.78","","","","2"
"2020","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","51.59","","","","2"
"2021","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v44312509","9.1","54.30","","","","2"
"2000","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-2.42","","","","2"
"2001","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-5.10","","","","2"
"2002","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-3.16","","","","2"
"2003","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-0.65","","","","2"
"2004","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-2.79","","","","2"
"2005","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-0.46","","","","2"
"2006","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","1.20","","","","2"
"2007","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-6.95","","","","2"
"2008","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-1.94","","","","2"
"2009","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-1.89","","","","2"
"2010","Quebec [24]","2016A000224","Percent change in crime severity index","Percent","239","units","0","v44312510","9.2","-6.73","","","","2"
