"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","169.43","","","","2"
"2001","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","176.37","","","","2"
"2002","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","175.74","","","","2"
"2003","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","199.53","","","","2"
"2004","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","192.29","","","","2"
"2005","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","181.35","","","","2"
"2006","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","170.51","","","","2"
"2007","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","164.70","","","","2"
"2008","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","152.54","","","","2"
"2009","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","149.50","","","","2"
"2010","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","148.15","","","","2"
"2011","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","143.62","","","","2"
"2012","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","138.80","","","","2"
"2013","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","126.54","","","","2"
"2014","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","125.04","","","","2"
"2015","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","138.33","","","","2"
"2016","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","151.37","","","","2"
"2017","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","143.17","","","","2"
"2018","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","140.74","","","","2"
"2019","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","149.62","","","","2"
"2020","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","142.60","","","","2"
"2021","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v44312635","30.1","146.76","","","","2"
"2000","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","1.30","","","","2"
"2001","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","4.10","","","","2"
"2002","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-0.36","","","","2"
"2003","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","13.54","","","","2"
"2004","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-3.63","","","","2"
"2005","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-5.69","","","","2"
"2006","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-5.98","","","","2"
"2007","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-3.41","","","","2"
"2008","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-7.38","","","","2"
"2009","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-1.99","","","","2"
"2010","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-0.90","","","","2"
"2011","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-3.06","","","","2"
"2012","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-3.36","","","","2"
"2013","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-8.83","","","","2"
"2014","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-1.19","","","","2"
"2015","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","10.63","","","","2"
"2016","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","9.43","","","","2"
"2017","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-5.42","","","","2"
"2018","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-1.70","","","","2"
"2019","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","6.31","","","","2"
"2020","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","-4.69","","","","2"
"2021","Saskatchewan [47]","2016A000247","Percent change in crime severity index","Percent","239","units","0","v44312636","30.2","2.92","","","","2"
"2000","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","146.07","","","","2"
"2001","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","155.97","","","","2"
"2002","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","160.13","","","","2"
"2003","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","186.84","","","","2"
"2004","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","166.37","","","","2"
"2005","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","171.25","","","","2"
"2006","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","177.27","","","","2"
"2007","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","170.38","","","","2"
"2008","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","152.95","","","","2"
"2009","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","155.23","","","","2"
"2010","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","153.34","","","","2"
"2011","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","142.88","","","","2"
"2012","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","133.85","","","","2"
"2013","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","122.87","","","","2"
"2014","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","124.38","","","","2"
"2015","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","137.64","","","","2"
"2016","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","150.52","","","","2"
"2017","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","145.60","","","","2"
"2018","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","141.30","","","","2"
"2019","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","173.63","","","","2"
"2020","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","179.28","","","","2"
"2021","Saskatchewan [47]","2016A000247","Violent crime severity index","Index","160","units","0","v44312637","30.3","185.93","","","","2"
"2000","Saskatchewan [47]","2016A000247","Percent change in violent crime severity index","Percent","239","units","0","v44312638","30.4","8.22","","","","2"
"2001","Saskatchewan [47]","2016A000247","Percent change in violent crime severity index","Percent","239","units","0","v44312638","30.4","6.78","","","","2"
