ref_date,city,province,crime_severity_index,percent_change_in_crime_severity_index,violent_crime_severity_index,percent_change_in_violent_crime_severity_index,non_violent_crime_severity_index,percent_change_in_youth_non_violent_crime_severity_index,weighted_clearance_rate,percent_change_in_weighted_clearance_rate,violent_weighted_clearance_rate,percent_change_in_violent_weighted_clearance_rate,non_violent_weighted_clearance_rate,percent_change_in_non_violent_weighted_clearance_rate
2000,Calgary,Alberta,100.6,-10.08,88.61,-2.15,105.21,NA,38.51,13.2,59.32,8.41,31.77,13.38
2001,Calgary,Alberta,101.07,0.47,91.82,3.62,104.62,NA,37.94,-1.48,59.03,-0.49,30.83,-2.96
2002,Calgary,Alberta,97.94,-3.1,83.69,-8.85,103.42,NA,38.94,2.64,57.68,-2.29,33.11,7.4
2003,Calgary,Alberta,102.98,5.15,92.61,10.66,106.97,NA,39.24,0.77,57.46,-0.38,33.17,0.18
2004,Calgary,Alberta,98.55,-4.3,88.04,-4.93,102.59,NA,37.68,-3.98,53.09,-7.61,32.6,-1.72
2005,Calgary,Alberta,97.01,-1.56,94.76,7.63,97.88,NA,36.55,-3,53.37,0.53,30.29,-7.09
2006,Calgary,Alberta,96.29,-0.74,94.8,0.04,96.86,0,36.79,0.66,52.57,-1.5,30.85,1.85
2007,Calgary,Alberta,91.8,-4.66,94.19,-0.64,90.88,0,33.87,-7.94,49.65,-5.55,27.58,-10.6
2008,Calgary,Alberta,84.92,-7.49,89.63,-4.84,83.11,0,34.8,2.75,50.69,2.09,28.22,2.32
2009,Calgary,Alberta,80.78,-4.88,88.36,-1.42,77.87,0,37.18,6.84,51.38,1.36,30.98,9.78
2010,Calgary,Alberta,76.39,-5.43,80.82,-8.53,74.69,0,35.8,-3.71,50.98,-0.78,29.49,-4.81
2011,Calgary,Alberta,65.37,-14.43,70.08,-13.29,63.52,NA,36.09,0.81,52.23,2.45,29.62,0.44
2012,Calgary,Alberta,61.28,-6.26,61.83,-11.77,60.95,NA,35.67,-1.16,54.28,3.92,28.8,-2.77
2013,Calgary,Alberta,61.28,0,62.99,1.88,60.53,NA,34.4,-3.56,52.67,-2.97,27.47,-4.62
2014,Calgary,Alberta,61.06,-0.36,64.46,2.33,59.7,NA,33.58,-2.38,50.56,-4.01,26.91,-2.04
2015,Calgary,Alberta,79.77,30.64,73.52,14.06,81.87,NA,28.04,-16.5,49.24,-2.61,21.11,-21.55
2016,Calgary,Alberta,78.35,-1.78,64.82,-11.83,83.03,NA,28.43,1.39,51.1,3.78,22.07,4.55
2017,Calgary,Alberta,83.64,6.75,76.03,17.29,86.17,NA,26.6,-6.44,46.95,-8.12,20.14,-8.74
2018,Calgary,Alberta,89.34,6.81,80.37,5.71,92.36,NA,26.4,-0.75,42.52,-9.44,21.35,6.01
2019,Calgary,Alberta,93.46,4.61,85.21,6.02,96.21,NA,27.2,3.03,43.6,2.54,21.97,2.9
2020,Calgary,Alberta,79.17,-15.29,78.86,-7.45,79.1,NA,28.7,5.51,47.24,8.35,22.06,0.41
2021,Calgary,Alberta,72.27,-8.72,82.74,4.92,68.34,NA,29.51,2.82,44.27,-6.29,23.07,4.58
2000,Edmonton,Alberta,117.92,-3.13,111.71,-0.47,120.3,NA,37.42,-4.27,52.52,-0.36,32.03,-6.89
2001,Edmonton,Alberta,123.86,5.04,122.75,9.88,124.29,NA,36.71,-1.9,53.43,1.73,30.36,-5.21
2002,Edmonton,Alberta,128.57,3.8,115.1,-6.23,133.74,NA,33.42,-8.96,49.15,-8.01,28.21,-7.08
2003,Edmonton,Alberta,141.52,10.07,125.69,9.2,147.6,NA,31.05,-7.09,43.53,-11.43,26.97,-4.4
2004,Edmonton,Alberta,144.32,1.98,118.24,-5.93,154.35,NA,29.75,-4.19,46.25,6.25,24.89,-7.71
2005,Edmonton,Alberta,141.01,-2.29,121.95,3.14,148.34,NA,28.87,-2.96,47.06,1.75,23.12,-7.11
2006,Edmonton,Alberta,129.75,-7.99,115.8,-5.04,135.11,0,30.08,4.19,46.19,-1.85,24.77,7.14
