ref_date,geo,age_group,population,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate,participation_rate,employment_rate
Jan 2019,Alberta,15 years and over,3428.3,2457.2,2294.5,1875.6,418.8,162.8,6.6,71.7,66.9
Jan 2019,Alberta,15 to 24 years,515.2,330.9,297.6,176.7,120.9,33.3,10.1,64.2,57.8
Jan 2019,Alberta,25 years and over,2913.1,2126.3,1996.9,1698.9,297.9,129.5,6.1,73,68.5
Jan 2019,Alberta,25 to 54 years,1844.1,1638.9,1544,1355.3,188.8,94.9,5.8,88.9,83.7
Jan 2019,Alberta,55 years and over,1069,487.4,452.8,343.6,109.2,34.6,7.1,45.6,42.4
Jan 2020,Alberta,15 years and over,3486.9,2472.5,2293.6,1876,417.6,178.9,7.2,70.9,65.8
Jan 2020,Alberta,15 to 24 years,521.4,341.1,294.5,162.9,131.6,46.6,13.7,65.4,56.5
Jan 2020,Alberta,25 years and over,2965.5,2131.4,1999.1,1713.1,286,132.3,6.2,71.9,67.4
Jan 2020,Alberta,25 to 54 years,1860.3,1645.7,1543.7,1358.1,185.6,102,6.2,88.5,83
Jan 2020,Alberta,55 years and over,1105.2,485.8,455.4,355,100.4,30.4,6.3,44,41.2
Jan 2021,Alberta,15 years and over,3527.7,2452,2199.6,1793.6,406,252.4,10.3,69.5,62.4
Jan 2021,Alberta,15 to 24 years,523.5,322.1,253.9,136.7,117.2,68.1,21.1,61.5,48.5
Jan 2021,Alberta,25 years and over,3004.2,2129.9,1945.6,1656.9,288.8,184.3,8.7,70.9,64.8
Jan 2021,Alberta,25 to 54 years,1867.9,1636.2,1496.8,1309.7,187.1,139.3,8.5,87.6,80.1
Jan 2021,Alberta,55 years and over,1136.3,493.7,448.8,347.2,101.6,44.9,9.1,43.4,39.5
Jan 2022,Alberta,15 years and over,3573.9,2501.3,2330.3,1885.4,444.9,171,6.8,70,65.2
Jan 2022,Alberta,15 to 24 years,527.9,346,304.3,148.8,155.5,41.7,12.1,65.5,57.6
Jan 2022,Alberta,25 years and over,3046,2155.4,2026,1736.5,289.5,129.4,6,70.8,66.5
Jan 2022,Alberta,25 to 54 years,1883.7,1678.7,1589,1388.7,200.3,89.7,5.3,89.1,84.4
