2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts","Population in 2001","1","7648","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts"," Population in 1996","2","7883","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-3","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts"," Total private dwellings","","3429","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts"," Population density per square kilometre","","12.1","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Population and Dwelling Counts"," Land area (square km)","","631.94","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","Total - All persons","3","7650","3840","3810","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 0-4","","405","200","200","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 5-14","","1060","520","540","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 15-19","","495","250","245","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 20-24","","475","260","215","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 25-44","","2365","1195","1170","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 45-54","","1135","570","565","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 55-64","","715","370","340","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 65-74","","550","265","290","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 75-84","","345","160","185","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population","   Age 85 and over","","100","35","60","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population"," Median age of the population","","37.3","37","37.5","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Age Characteristics of the Population"," % of the population ages 15 and over","","80.8","81.2","80.6","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Common-law Status","Total - Population 15 years and over","4","6185","3115","3070","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Common-law Status","   Not in a common-law relationship","","5615","2830","2785","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Common-law Status","   In a common-law relationship","","570","285","290","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","Total - Population 15 years and over","5","6185","3110","3070","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","   Single","6","1595","935","655","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","   Married","7","3555","1780","1775","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","   Separated","8","240","110","130","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","   Divorced","9","410","200","210","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Legal Marital Status","   Widowed","10","395","90","300","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language(s) First Learned and Still Understood","Total - All persons","19","7645","3835","3815","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language(s) First Learned and Still Understood","   English only","","7535","3805","3730","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language(s) First Learned and Still Understood","   French only","","75","10","55","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language(s) First Learned and Still Understood","   Both English and French","","25","0","25","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language(s) First Learned and Still Understood","   Other languages","20","25","15","10","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 1 Year Ago","Total population 1 year and over","21","7595","3805","3790","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 1 Year Ago","   Lived at the same address 1 year ago","","7065","3580","3490","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 1 Year Ago","   Lived within the same province/territory 1 year ago, but changed address","","515","215","300","",
