2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts","Population in 2001","1","684","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts"," Population in 1996","2","631","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","8.4","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts"," Total private dwellings","","156","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts"," Population density per square kilometre","","6.1","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Population and Dwelling Counts"," Land area (square km)","","111.54","","","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","Total - All persons","3","685","365","320","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 0-4","","95","50","50","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 5-14","","180","100","80","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 15-19","","70","35","30","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 20-24","","40","20","20","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 25-44","","200","100","100","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 45-54","","50","30","25","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 55-64","","35","15","20","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 65-74","","15","10","0","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 75-84","","5","5","5","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population","   Age 85 and over","","0","0","0","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population"," Median age of the population","","19.9","19.8","19.9","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Age Characteristics of the Population"," % of the population ages 15 and over","","59.1","58.3","60.9","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Common-law Status","Total - Population 15 years and over","4","410","215","190","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Common-law Status","   Not in a common-law relationship","","370","195","175","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Common-law Status","   In a common-law relationship","","35","15","15","",
"6204001","Nunavut","BAFFIN REGION","SANIKILUAQ","Hamlet","Legal Marital Status","Total - Population 15 years and over","5","410","215","190","",
