2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts","Population in 2001","1","2185","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts"," Population in 1996","2","2441","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-10.5","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts"," Total private dwellings","","973","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts"," Population density per square kilometre","","23.6","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Population and Dwelling Counts"," Land area (square km)","","92.75","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","Total - All persons","3","2185","1125","1065","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 0-4","","135","70","60","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 5-14","","395","210","185","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 15-19","","180","95","90","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 20-24","","145","75","70","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 25-44","","660","315","345","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 45-54","","345","185","165","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 55-64","","170","90","80","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 65-74","","115","70","45","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 75-84","","40","15","20","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population","   Age 85 and over","","10","5","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population"," Median age of the population","","33.3","33.5","33.1","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Age Characteristics of the Population"," % of the population ages 15 and over","","76","75.1","76.9","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Common-law Status","Total - Population 15 years and over","4","1660","840","815","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Common-law Status","   Not in a common-law relationship","","1395","710","685","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Common-law Status","   In a common-law relationship","","255","130","130","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","Total - Population 15 years and over","5","1660","845","815","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","   Single","6","755","400","350","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","   Married","7","640","325","315","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","   Separated","8","65","30","35","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","   Divorced","9","115","60","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Legal Marital Status","   Widowed","10","80","25","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language(s) First Learned and Still Understood","Total - All persons","19","2160","1105","1055","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language(s) First Learned and Still Understood","   English only","","1840","955","885","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language(s) First Learned and Still Understood","   French only","","65","40","25","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language(s) First Learned and Still Understood","   Both English and French","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language(s) First Learned and Still Understood","   Other languages","20","250","110","140","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 1 Year Ago","Total population 1 year and over","21","2135","1095","1040","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived at the same address 1 year ago","","1795","925","865","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived within the same province/territory 1 year ago, but changed address","","255","120","130","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived in a different province/territory or country 1 year ago","","90","45","45","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 5 Years Ago","Total population 5 years and over","22","2025","1040","985","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived at the same address 5 years ago","","1120","585","540","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived within the same province/territory 5 years ago, but changed address","","620","305","315","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived in a different province/territory or country 5 years ago","","285","150","130","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","Total - All persons","","2165","1110","1050","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","   Canadian-born population","23","2040","1045","1000","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","   Foreign-born population","24","120","60","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","      Immigrated before 1991","","90","50","40","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","      Immigrated between 1991 and 2001","25","25","10","15","",
