2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts","Population in 2001","1","974","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts"," Population in 1996","2","1010","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-3.6","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts"," Total private dwellings","","450","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts"," Population density per square kilometre","","11.9","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Population and Dwelling Counts"," Land area (square km)","","82.06","","","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","Total - All persons","3","970","505","465","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 0-4","","55","30","25","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 5-14","","110","60","50","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 15-19","","80","40","35","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 20-24","","45","25","25","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 25-44","","260","150","115","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 45-54","","160","80","80","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 55-64","","105","55","55","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 65-74","","85","40","45","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 75-84","","65","25","35","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population","   Age 85 and over","","10","5","5","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population"," Median age of the population","","41.2","39.6","42.9","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Age Characteristics of the Population"," % of the population ages 15 and over","","84","81.4","84.9","",
"1101001","Prince Edward Island","KINGS COUNTY","LOT 64","Township and Royalty","Common-law Status","Total - Population 15 years and over","4","810","420","395","",
