2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts","Population in 2001","1","912","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts"," Population in 1996","2","993","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-8.2","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts"," Total private dwellings","","422","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts"," Population density per square kilometre","","176.7","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Population and Dwelling Counts"," Land area (square km)","","5.16","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","Total - All persons","3","910","465","450","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 0-4","","55","35","25","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 5-14","","175","85","90","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 15-19","","65","35","25","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 20-24","","40","25","15","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 25-44","","305","150","155","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 45-54","","135","65","70","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 55-64","","85","50","40","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 65-74","","30","20","15","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 75-84","","15","5","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population","   Age 85 and over","","5","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population"," Median age of the population","","33.9","33.9","33.9","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Age Characteristics of the Population"," % of the population ages 15 and over","","73.8","73.9","74.2","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Common-law Status","Total - Population 15 years and over","4","675","345","335","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Common-law Status","   Not in a common-law relationship","","545","280","270","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Common-law Status","   In a common-law relationship","","125","65","65","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","Total - Population 15 years and over","5","675","345","330","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","   Single","6","270","155","115","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","   Married","7","265","135","130","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","   Separated","8","35","20","20","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","   Divorced","9","75","30","40","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Legal Marital Status","   Widowed","10","35","5","25","",
